Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,repo,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,source_file,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
,,,,,,,,,Australia,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Adelaide-Meetup-Group,,,,,,,,,,Oceania,OWASP/www-chapter-adelaide,,,,,https://www.meetup.com/OWASP-Adelaide-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,adelaide,OWASP Adelaide,,,,
,,,,,,,,https://github.com/OWASP/www-chapter-namakkal,India,,,,,,,col-sidebar,,,,,,,,,,owasp-namakkal-meetup-group,,,,,,,,,,Asia,OWASP/www-chapter-namakkal,,,,,,,,"index.md, info.md, leaders.md",,,,,namakkal,OWASP Namakkal,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/cwe-sdk-javascript,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,Help all OWASP Chapters to succeed,,,,,,,,OWASP/www-committee-chapter,,,,,,,,"index.md, info.md, leaders.md",,,,,chapters-committee,OWASP Chapter Committee,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/cwe-tool,,,,,,,,,,,,,,,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,0,,,,,,,OWASP-NIT-Tiruchirappalli-Student-Chapter,,,,,,,,,,Asia,OWASP/www-chapter-nit-tiruchirapalli,,,,,https://www.meetup.com/OWASP-NIT-Tiruchirappalli-Student-Chapter/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP NIT-Tiruchirapalli - Student Chapter,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,0,,,,,,,OWASP-Jaipur-Meetup-Group,,,,302015,,,,,,Asia,OWASP/www-chapter-jaipur,,,,,https://www.meetup.com/OWASP-Jaipur-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,jpr,OWASP Jaipur,,,,
,,,,,"Breaker, Builder",,,"https://github.com/OWASP/cwe-sdk-javascript, https://github.com/OWASP/cwe-tool",,,,,,,,col-sidebar,,Liran Tal,2,Apache 2.0,,,,,,,,,,,,,Incubator,,,,OWASP/www-project-cwe-toolkit,,,,,,,,"index.md, info.md, leaders.md",,,,,cwe weakness cve capec,OWASP CWE Toolkit,"easy and accessible tooling to analyze, organize and manage CWE data",,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,,OWASP/www-board,,,,,,,,"index.md, info.md, leaders.md",,,,,board,Global Board,,,,
,,,,,,,,,Taiwan,,,,,,,col-sidebar,,"Henry Hu, Yi-Lang Tsai",0,,,,,,,Taipei-OWASP-Meetup-Group,,,,,,,,,,Asia,OWASP/www-chapter-taiwan,,,https://www.facebook.com/groups/owasptaiwan,,https://www.meetup.com/Taipei-OWASP-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,OWASP Taiwan,OWASP Taiwan,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Praveen Thiyagarayam, Abisheik Magesh",2,,,,,,,Tiruvallur-OWASP-Meetup-Group,,,,,,,,,,Asia,OWASP/www-chapter-tiruvallur,,,,,https://www.meetup.com/Tiruvallur-OWASP-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,Tiruvallur OWASP Chapter India,OWASP Tiruvallur,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-appsecil,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,OWASP-Iasi-Meetup-Group,,,,,,,,,,Europe,OWASP/www-chapter-iasi,,,https://www.facebook.com/owasp.iasi/,,https://www.meetup.com/OWASP-Iasi-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,next-events-tag recent-events-tag past-events-tag,OWASP Iasi,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/wrongsecrets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,col-sidebar,,"Adrian Winckles, Andrea Scaduto, Shruti Kulkarni, John Ellingsworth, Azzeddine Ramrami, Ophelier Chan, Toby Irvine, Dennis Johnson, Grant Ongers, John DiLeo, Starr Brown, Sam Stepanyan, Saskia Coplans, Alex Ley, Sully Vickers",,,,,,,,,,,To educate developers and information security professionals about skills needed in the application security sector,,,,,,,,OWASP/www-committee-education-and-training,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Education and Training Committee,,,,
,,,,,"Breaker, Builder",,,https://github.com/arthurakay/cyberscavengerhunt,,,,,,,,col-sidebar,,Arthur Kay,2,,,,,,,,,,A simple scavenger hunt to learn about pentesting a website or web application.,,,,Incubator,,,,OWASP/www-project-cyber-scavenger-hunt,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Cyber Scavenger Hunt,code,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Jamieson O'Reilly,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-cloud-security-testing-guide,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Cloud Security Testing Guide,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Uday Korlimarla,2,,,,,,,,,,"OWASP Application Security Verification Standard (ASVS) is a great knowledgebase. This greatly helps organizations by providing guidance as well as in generating Application Security Metrics. With OWASP ASVS-Graph, ASVS is converted to a knowledge-graph derived deep and unexplored relationships with the ASVS Data.",,,,Incubator,,,,OWASP/www-project-asvs-graph,,,,,,,,"index.md, info.md, leaders.md",,,,,asvs automation graph-theory know,OWASP ASVS-Graph,code,,,
,,,,,"Breaker, Builder",,,https://github.com/OWASP/awscanner/,,,,,https://github.com/OWASP/awscanner/,,,,,Ilya Chernyakov,2,,,,,,,,,,Finds internet-exposed resources in an AWS account.,,,,Incubator,,,,OWASP/www-project-awscanner,,,,,,,,"index.md, info.md, leaders.md",,,,,AWS scanner eliuha,OWASP AWScanner,tool,,,
,,,,,,,,https://github.com/OWASP/www-project-sectudo,,,,,https://github.com/OWASP/www-project-sectudo/releases/tag/v1.2,,,col-sidebar,,"Ashish Rao, Vaibhav Raman",2,,,,,,,,,,Sectudo is a Mobile app that aims at imparting simplified Mobile Application Security Learning.,,,,Incubator,,,,OWASP/www-project-sectudo,,,,,,,,"index.md, info.md, leaders.md",,,,,details-tag,OWASP Sectudo,,,,
,,,,,,,,https://github.com/DedSecInside/TorBot,,,,,https://github.com/DedSecInside/TorBot,,,col-sidebar,,,3,,,,,,,,,,Darkweb OSINT Tool,,,,Lab,,,,OWASP/www-project-torbot,,,,,,,,"index.md, info.md, leaders.md",,,,,osint tor,OWASP TorBot,documentation,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/awscanner,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/ssrdio/SecureBank,,,,,,,,col-sidebar,,Gregor Spagnolo,2,,,,,,,,,,SecureBank the most secure fintech banking system,,,,Incubator,,,,OWASP/www-project-securebank,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,securebank,OWASP SecureBank,tool,,,
,,,,,,,,https://github.com/OWASP/OdTM/,,,,,,,,col-sidebar,,Andrei Brazhuk,2,,,,,,,,,,OWASP Ontology-driven Threat Modelling (OdTM) framework is a set of means for implementation of an ontological approach into automatic threat modelling of computer systems.,,,,,,,,OWASP/www-project-ontology-driven-threat-modeling-framework,,,,,,,,"index.md, info.md, leaders.md",,,,,OdTM,OWASP Ontology Driven Threat Modeling Framework,tool,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OdTM,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Srinivasarao Kotipalli,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-damn-vulnerable-thick-client-application,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Damn Vulnerable Thick Client Application,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/Cyber-Scavenger-Hunt,,,,,,,,,,,,,,,,,,
,,,,,,,,,Croatia,,,,,,,col-sidebar,,"Tonimir Kišasondi, Igor Vuk, Vlatko Košturjak",,,,,,,,OWASP-Croatia-Meetup-Group,,,,,,,,,,Europe,OWASP/www-chapter-croatia,,,,,,,,"index.md, info.md, leaders.md",,,,,croatia,OWASP Croatia,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,,OWASP/www-board-candidates,,,,,,,,"index.md, info.md",,,,,,OWASP Global Board Candidates,,,,
,,,,,"Builder, Defender",,,https://github.com/BBVA/apicheck/,,,,,,,,col-sidebar,,Daniel Garcia (cr0hn),2,,,,,,,,,,The DevSecOps toolset for HTTP APIs,,,,Incubator,,,,OWASP/www-project-apicheck,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,apicheck,OWASP APICheck,tool,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,OWASP-The-NorthCap-University-Meetup-Group,,,,122001,,,,,,Asia,OWASP/www-chapter-the-northcap-university,,,,,https://www.meetup.com/OWASP-The-NorthCap-University-Meetup-Group/,,,"index.md, info.md, leaders.md",,,,,,OWASP The NorthCap University - Student Chapter,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/apicheck,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-gudalur,,,,,,,,"index.md, info.md, leaders.md",,,,,"OWASP Gudalur Chapter, Nilgiris, India",OWASP Gudalur,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Abhisek Rajkumar, Roopak Suresh, Shyam Sunder Saravanan, Dr. V.S. Shankar Sriram",,,,,,,,owasp-sastra-university-meetup-group,,,,,,,,,,Asia,OWASP/www-chapter-sastra-university,,,https://www.facebook.com/OWASPSASTRA,https://www.linkedin.com/company/owaspsastra,,https://twitter.com/OwaspSastra,,"index.md, info.md, leaders.md",,,,,Trichy Thanjavur Sastra University India,OWASP Sastra University - Student Chapter,,,,
,,,,True,,,,,USA,,,,,,,col-sidebar,,Deveeshree Nayak,,,,,,,,owasp-university-of-washington-meetup-group,,,,98195,,,,,,North America,OWASP/www-chapter-university-of-washington,,,,,,,,"index.md, info.md, leaders.md",,,,,Seattle,OWASP University of Washington - Student Chapter,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/security-pins,,,,,,,,,,,,,,,,,,
,,,,,Builder,,,https://github.com/akhimb/Snow,,,,,,,,col-sidebar,,Abhi M Balakrishnan,2,,,,,,,,,,Improve privacy of applications by defending shoulder surfing,,,,Incubator,,,,OWASP/www-project-snow,,,,,,,,"index.md, info.md, leaders.md",,,,,privacy windows chrome javascript,OWASP Snow,"code, tool",,,
,,,,,,,,https://github.com/OWASP/ASST,,,,,,,,col-sidebar,,Tarik Seyceri,1,,,,,,,,,,OWASP ASST (Automated Software Security Toolkit) | A Novel Open Source Web Security Scanner.,,,,Incubator,,,,OWASP/ASST,,,,,,,,"index.md, info.md, leaders.md",,,,,asst web-vulnerability-scanners cybersecurity owasp-top-10 owasp vulnerability-scanners web-vulnerability-scanner vulnerability-detection vulnerability-scanner vulnerability-assessment security-assesment security-tools security-assessments security-audit security-hardening security-testing,OWASP ASST,Tool,,,
,,,,,,,,,,,,,#,,,col-sidebar,,,2,,,,,,,,,,,,,,Incubator,,,,OWASP/www-project-threat-and-safeguard-matrix,,,,https://www.linkedin.com/in/mrrossyoung/,,,,"index.md, info.md, leaders.md",,,,,TaSM,OWASP Threat and Safeguard Matrix (TaSM),documentation,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/mas-crackmes,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Sebastien Deleersnyder,2,,,,,,,,,,Improve your product and software security with the OWASP Threat Modeling Playbook (OTMP),,,True,Incubator,,,,OWASP/www-project-threat-modeling-playbook,,,,,,,,"index.md, info.md, leaders.md",,,,,OTMP,OWASP Threat Modeling Playbook (OTMP),documentation,,,
,,,,True,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,Help all OWASP Projects to succeed,,,,,,,,OWASP/www-committee-project,,,,,,,,"index.md, info.md, leaders.md",,,,,project-committee,OWASP Project Committee,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,owasp-thoothukudi-meetup-group,,,,,,,,,,Asia,OWASP/www-chapter-thoothukudi,,,,,https://www.meetup.com/owasp-thoothukudi-meetup-group/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Thoothukudi,,,,
,,,,,"Breaker, Builder",,,,,,,,,,,col-sidebar,,Veronica Schmitt,2,,,,,,,,,,,,,,Incubator,,,,OWASP/www-project-secure-logging-benchmark,,,,,,,,"index.md, info.md, leaders.md",,,,,logging-benchmark,OWASP Secure Logging Benchmark,documentation,https://owasp.org/www-project-secure-logging-benchmark,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Satish Patnayak,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-androgoat,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP AndroGoat,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,santa-rita-do-sapucai-owasp-meetup-group,,,,,,,,,,South America,OWASP/www-chapter-santa-rita-do-sapucai,,,,,https://www.meetup.com/santa-rita-do-sapucai-owasp-meetup-group/,,,"index.md, info.md, leaders.md",,,,,,OWASP Santa Rita do Sapucai,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,owasp-zacatecas-meetup-group,,,,,,,,,,North America,OWASP/www-chapter-zacatecas,,,https://www.facebook.com/owaspzacatecas/,,https://www.meetup.com/es/owasp-zacatecas-meetup-group,https://twitter.com/owaspzacatecas,https://youtube.com/channel/UC7AaOZ7wR2rmIJ07qaaORmQ,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Zacatecas,,,,
,,,,,,,,,,,,,,,,col-sidebar,,"Renato Lima, Arsene Laurent",2,,,,,,,,,,"A very brief, one-line description of your project",,,,,,,,OWASP/www-project-scan-it,,,,,,,,"index.md, info.md, leaders.md",,,,,scan_it,OWASP Scan IT,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,moncton-owasp-meetup-group,,,,,,,,,,North America,OWASP/www-chapter-moncton,,,,https://www.linkedin.com/groups/12470678/,https://www.meetup.com/moncton-owasp-meetup-group/,,,"index.md, info.md, leaders.md",,,,,cybersecurity appsec moncton IT,OWASP Moncton,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-forensics-testing-guide,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Forensics Testing Guide,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Ali Razmjoo,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-joomscan,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Joomscan,,,,
,,,,,,,,,Romania,,,,,,,col-sidebar,,,4,,,,,,,owasp-brasov,,,,500429,,,,,,Europe,OWASP/www-chapter-brasov,,,,,https://www.meetup.com/owasp-brasov/,,,"index.md, info.md, leaders.md",,,,,brasov,OWASP Brasov,,,,
,,,,,,,,,Costa Rica,,,,,,,col-sidebar,,,,,,,,,,owasp-san-jose-cr,,,,,,,,,,Central America,OWASP/www-chapter-san-jose,,,https://www.facebook.com/groups/OWASPCR/,https://www.linkedin.com/company/owaspcr,https://www.meetup.com/owasp-san-jose-cr/,,,"index.md, info.md, leaders.md",,,,,OWASPSanJose,"OWASP San Jose, Costa Rica",,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-sri-lanka-institute-of-information-technology,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Sri Lanka Institute of Information Technology - Student Chapter,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-kakinada,,,,,https://www.meetup.com/owasp-kakinada/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Kakinada,,,,
,,,,,,,,,Japan,,,,,,,col-sidebar,,"Yuichi Hattori, Kohei Morita",,,,,connpass,,,,,,,,,,,,,Asia,OWASP/www-chapter-fukuoka,,,https://www.facebook.com/owaspfukuoka,,,https://twitter.com/eidwinds,,"index.md, info.md, leaders.md",,,,,fukuoka-tag,OWASP Fukuoka,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Dr. Somanath Tripathy, Rupak Biswas, Tejas Tupke, Swapnil Srivastava",,,,,,,,meetup-group-mrogmpnt,,,,801106,,,,,,Asia,OWASP/www-chapter-indian-institute-of-technology-patna,,,,,https://www.meetup.com/meetup-group-mrogmpnt/,,,"index.md, info.md, leaders.md",,,,,iitp,OWASP IIT Patna - Student Chapter,,,,
,,,,,"Breaker, Defender",,,,,,,,,,,col-document,,,2,,,,,,,,,,"A very brief, one-line description of your project",,,,,,,,OWASP/www-project-cyber-defense-framework,Documentation,,,https://www.linkedin.com/in/abdussaboor/,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Cyber Defense Framework,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-irbid,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Irbid,,,,
,,,,,,,,,,,,,,,,event,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2021-lightning,,,,,,,,index.md,,,,,,OWASP Lightning Events 2021,,,,
,,,,,"Builder, Defender",,,"https://github.com/mpast/mobileAudit, https://github.com/mpast/mobileAudit/releases",,,,,,,,col-sidebar,,Monica Pastor,2,,,,,,,,,,DevSecOps Tool to perform SAST and Malware analysis in Android APKs,,,,,,,,OWASP/www-project-mobile-audit,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,mobile-audit,OWASP Mobile Audit,tool,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Everton Melo,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-blockchain-distributed-infrastructure,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Blockchain Distributed Infrastructure,,,,
,,,,,,,,,,,,,,,,event-2.0,,,,,,,,,,,,,,,False,,,,,,OWASP/www-event-2021-training,,,,,,,,index.md,,,,,,OWASP Training Events 2021,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Erez Yalon,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-cloudsheep,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP CloudSheep,,,,
,,,,,"Breaker, Builder",,,https://github.com/OWASP/vulnerable-container-hub,,,,,#,,,col-sidebar,,Jeremy Bonghwan Choi,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-vulnerable-container-hub,,,,,,,,"index.md, info.md, leaders.md",,,,,appsec education,OWASP Vulnerable Container Hub,"documentation, code",,,
,,,,,,,,,,,,,,,,col-sidebar,,"Inon Shkedy, Roshan Piyush",2,,,,,,,,,,"crAPI will help you to understand the ten most critical API security risks. crAPI is vulnerable by design, but you'll be able to safely run it to educate/train yourself.",,,,,,,,OWASP/www-project-crapi,,,,,,,,"index.md, info.md, leaders.md",,,,,crapi,OWASP crAPI,tool,,,
,,,,,Builder,,,https://github.com/gianlucafrei/Application-Gateway,,,,,https://github.com/gianlucafrei/Application-Gateway/releases,,,col-sidebar,,"Gian-Luca Frei, Patrick Steger",2,,,,,,,,,,OWASP Application Gateway is an HTTP proxy that handles Oauth2 authentication and session management and can issue verifyable JWT tokens for downstream systems.,,,,Incubator,,,,OWASP/www-project-application-gateway,,,,,,,,"index.md, info.md, leaders.md",,,,,"iam, oauth2, oag, reverse proxy, gateway",OWASP Application Gateway,tool,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/cornucopia,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,event,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2021-brain-break,,,,,,,,index.md,,,,,,Brain Break 2021,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Paras Malhotra,1,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-laravel-goat,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Laravel Goat,,,,
,,,,,,,,,,,,,,,,event,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2021-call-to-battle,,,,,,,,index.md,,,,,,Call To Battle 2021,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-jodhpur,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Jodhpur,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/interference-security/DVWS,,,,,,,,col-sidebar,,Abhineet Jayaraj,2,,,,,,,,,,"A very brief, one-line description of your project",,,,,,,,OWASP/www-project-damn-vulnerable-web-sockets,Tool,,,https://www.linkedin.com/in/abhineet-jayaraj,,https://twitter.com/xploresec,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Damn Vulnerable Web Sockets,,,,
,,,,,,,,,Kenya,,,,,,,col-sidebar,,"Randy Voti, Job Makwani",,,,,,,,owasp-nairobi-meetup-group,,,,,,,,,,Africa,OWASP/www-chapter-nairobi,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Nairobi,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/mitm_guard,,,,,,,,,,,,,,,,,,
,,,,True,"Breaker, Builder, Defender",,,https://github.com/purpleteam-labs,,,,,,,,col-sidebar,,Kim Carter (binarymist),2,AGPL 3.0,,,,,,,,,Web Security Regression Testing CLI & SaaS for your build pipeline,,,,Incubator,,,,OWASP/www-project-purpleteam,Tool,True,,,,,,"index.md, info.md, leaders.md",,,,,PurpleTeam,OWASP PurpleTeam,tool,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,grand-rapids-owasp-meetup-group,,,,,,,,,,North America,OWASP/www-chapter-grand-rapids,,,,,https://www.meetup.com/grand-rapids-owasp-meetup-group/,,,"index.md, info.md, leaders.md",,,,,grand-rapids michigan,OWASP Grand Rapids,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,owasp-queretaro,,,,,,,,,,South America,OWASP/www-chapter-queretaro-city,,,,,https://www.meetup.com/owasp-queretaro/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Queretaro City,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,,2,,,,,,,,,,Enterprise Security Program Design with OWASP,,,,Incubator,,,,OWASP/www-project-enterprise-devsecops,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Enterprise DevSecOps,other,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Grant Ongers,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-open-appsec-tooling-api,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Open AppSec Tooling API,,,,
,,,,,"Breaker, Builder, Defender",,,,,,,,,,,col-sidebar,,"Didar Gelici, Daniel Ting",2,,,,,,,,,,Helping new comers to AppSec with advice and guidance.,,,,Incubator,,,,OWASP/www-project-how-to-get-into-appsec,,,,,,https://twitter.com/OWASPHow2AppSec,,"index.md, info.md, leaders.md",,,,,,OWASP How to Get Into AppSec,,,,
,,,,,"Breaker, Builder",,,https://github.com/OWASP/www-project-spotlight-series,,,,,#,,,col-sidebar,,Vandana Verma Sehgal,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-spotlight-series,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Project Spotlight Series,other,,,
,,,,,Builder,,,https://github.com/OWASP/www-project-desktop-app-security-top-10,,,,,,,,col-sidebar,,"Kartik Lalan, Siddharth Bezalwar, Mukund Kumar Kedia, Consultant at Payatu",2,MIT,,,,,,,,,"Consists of vulnerabilities for all major desktop app platform, derived from publicaly known exploits, CVEs etc.",,,,,,,,OWASP/www-project-desktop-app-security-top-10,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Desktop App Security Top 10,documentation,,,
,,,,True,,,,,India,,,,,,,col-sidebar,,,,,,,,,,owasp-sagar-sistec,,,,462036,,,,,,Asia,OWASP/www-chapter-sagar-institute-of-science-and-technology,,True,,,https://www.meetup.com/owasp-sagar-institute-of-science-and-technology-chapter/,,,"index.md, info.md, leaders.md",,,,,,OWASP Sagar Institute of Science and Technology (SISTec)-Student Chapter,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Tariq Hawis,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-injectbot,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP InjectBot,,,,
,,,,,,,,,Japan,,,,,,,col-sidebar,,"Takahiro Yoshimura, Ken-ya Yoshimura",,,,,connpass,,,,,,,,,,,,,Asia,OWASP/www-chapter-saitama,,,https://www.facebook.com/owaspsaitama,,,https://twitter.com/OWASP_Saitama,,"index.md, info.md, leaders.md",,,,,saitama-tag,OWASP Saitama,,,,
,,,,,"Builder, Defender",,,,,,,,,,,col-sidebar,,"Ivan Tsarynny, Lavakumar Kuppan, Dave Wichers",2,Creative Commons,,,,,,,,,The client-side of browser based web applications has different security challenges than [the server-side](https://owasp.org/www-project-top-ten/).,,,True,Incubator,,,,OWASP/www-project-top-10-client-side-security-risks,Documentation,True,,,,,,"index.md, info.md, leaders.md",,,,,top10,OWASP Top 10 Client-Side Security Risks,documentation,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Güler Okay,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-cybersecurity-risk-register,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Cybersecurity Risk Register,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Pawan Phogat,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-financial-systems-security,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Financial Systems Security,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,owasp-tiruvannamalai,,,,,,,,,,Asia,OWASP/www-chapter-tiruvannamalai,,,,,https://www.meetup.com/owasp-tiruvannamalai/,,,"index.md, info.md, leaders.md",,,,,tiruvannamalai,OWASP Tiruvannamalai,,,,
